run_id,probe_mode,seed,mask,toolmeta,extra_tools,InstAcc,ToolAcc,ArgAcc,SummAcc,AnsAcc,AnsAcc_w_imggen,P_F1,O_F1,L_F1,C_F1,tool_call,tool_call_error,proxy_calls,mean_tool_calls_per_task,mean_pred_chars,approx_mean_tokens
loo_OCR_pass_s0,passthrough,0,"Calculator,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_OCR/toolmeta.json,,,,,,12.88,11.74,10.53,46.85,29.29,45.83,110,93,30,,1110.6,277.7
loo_OCR_tf_s0,tool_free,0,"Calculator,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_OCR/toolmeta.json,,,,,,9.64,7.24,12.46,50.0,19.59,38.3,95,95,27,,1104.9,276.2
loo_Plot_pass_s0,passthrough,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_Plot/toolmeta.json,,,,,,13.34,11.23,24.44,24.18,28.28,39.13,102,55,57,,978.8,244.7
loo_Plot_tf_s0,tool_free,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_Plot/toolmeta.json,,,,,,,,,,,,,,5,,961.4,240.4
loo_Solver_pass_s0,passthrough,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_Solver/toolmeta.json,,,,,,15.42,12.66,27.52,32.38,32.0,41.67,127,77,54,,1182.7,295.7
loo_Solver_tf_s0,tool_free,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_Solver/toolmeta.json,,,,,,11.25,8.45,27.13,36.56,21.16,34.78,111,111,37,,1092.3,273.1
loo_TextToBbox_pass_s0,passthrough,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,Plot,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_TextToBbox/toolmeta.json,,,,,,14.97,12.9,28.39,30.43,35.92,35.56,105,55,54,,1113.6,278.4
loo_TextToBbox_tf_s0,tool_free,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,Plot,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_TextToBbox/toolmeta.json,,,,,,13.39,10.06,22.88,27.08,22.92,27.91,90,90,34,,1078.4,269.6
loo_TextToImage_pass_s0,passthrough,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,AddText,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_TextToImage/toolmeta.json,,,,,,13.59,10.48,29.72,29.47,33.33,0.0,131,86,49,,1131.0,282.7
loo_TextToImage_tf_s0,tool_free,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,AddText,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_TextToImage/toolmeta.json,,,,,,9.86,7.41,28.21,29.79,18.08,0.0,96,96,33,,1077.6,269.4
